,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
187,2.0,3,1250,,1957,449900,35.0,25.0
188,1.0,2,1040,,1953,590000,41.0,53.0
189,2.0,2,1582,5,2010,899950,59.0,93.0
190,2.5,4,2540,,1979,839000,24.0,9.0
191,1.5,2,1590,9,1942,,37.0,13.0
192,2.0,2,1100,,1967,,36.0,66.0
193,,,27,,1960,65000,33.0,2.0
194,1.75,4,2040,8,1978,475000,34.0,14.0
195,1.0,2,845,,1987,290000,44.0,26.0
196,3.5,4,4480,,1967,2450000,35.0,1.0
197,2.5,4,2750,,2013,1650000,41.0,61.0
198,1.5,2,1000,,1976,249000,48.0,47.0
199,2.5,4,3800,,1999,1400000,0.0,27.0
200,1.5,3,1250,5,1957,589000,40.0,25.0
201,1.0,2,900,,1978,215000,0.0,38.0
202,1.0,1,803,6,1980,165000,51.0,34.0
203,2.5,2,1122,7,1988,369000,0.0,10.0
204,1.75,3,1290,8,1975,450000,44.0,31.0
205,3.0,4,3700,9,1980,868000,0.0,8.0
206,2.75,4,2600,,1976,749000,0.0,10.0
207,2.75,4,3020,,1995,1075000,49.0,62.0
208,1.5,3,1940,6,1955,529950,46.0,21.0
209,4.5,8,3830,,1967,850000,30.0,19.0
210,1.0,1,652,4,1977,164950,47.0,75.0
211,1.0,3,1230,,1954,,45.0,41.0
212,2.0,3,1610,,1965,635000,0.0,20.0
213,,,32,,1960,120000,33.0,2.0
214,3.25,5,3452,,2009,1445000,46.0,55.0
215,3.25,4,2670,,1979,1590000,50.0,68.0
216,1.25,2,883,6,1986,215000,42.0,74.0
217,3.0,3,2190,,1986,575000,47.0,49.0
218,1.0,2,852,,1987,375000,44.0,26.0
219,2.5,3,2460,,1985,995000,0.0,1.0
220,4.5,4,4254,,2013,,44.0,49.0
221,2.5,5,2960,,1966,925000,41.0,39.0
222,3.5,5,6229,,2001,,0.0,11.0
223,,,27,,1960,60000,33.0,2.0
224,1.5,2,857,,1979,379990,48.0,75.0
225,2.5,4,3510,,1980,899999,0.0,11.0
226,1.0,1,650,5,1966,330000,54.0,88.0
227,3.75,6,4719,13,1953,2475000,47.0,33.0
228,2.0,3,1590,,1988,549000,28.0,26.0
229,4.5,5,3680,19,2015,1450000,43.0,41.0
230,1.0,,485,,2002,265000,58.0,88.0
231,1.0,1,900,,1981,227950,42.0,71.0
232,2.5,2,1857,,2008,935000,59.0,95.0
233,2.75,3,2060,,2008,738000,44.0,40.0
234,2.0,2,985,,1986,289950,41.0,27.0
235,1.5,2,1024,5,1979,234950,46.0,81.0
236,1.75,5,1560,,1967,,47.0,35.0
237,1.5,3,1290,6,1957,675000,32.0,21.0
238,5.5,5,5200,12,2011,2375500,44.0,38.0
252,1.75,4,2240,,1962,734000,0.0,36.0
256,3.5,4,3060,,1993,1089000,0.0,13.0
260,2.25,4,1970,,1959,319950,49.0,44.0
265,3.0,7,2280,,1913,989950,68.0,93.0
266,1.0,1,623,,1985,349950,65.0,95.0
267,3.0,3,1860,,1951,,57.0,64.0
268,1.0,1,698,,2005,400000,71.0,98.0
269,2.0,2,1054,,1986,550000,92.0,96.0
270,4.0,4,2475,8,2006,1050000,60.0,88.0
271,1.0,1,616,2,1988,360000,98.0,97.0
272,2.0,2,1136,7,1994,675000,76.0,96.0
273,3.5,3,1540,,2005,949900,70.0,97.0
274,3.75,5,4500,15,1927,2500000,67.0,88.0
275,2.5,2,1390,,2007,800000,66.0,98.0
276,1.0,,502,,1930,,79.0,97.0
277,2.0,2,1504,,2011,750000,64.0,92.0
278,1.0,1,818,,1967,345000,79.0,94.0
279,1.0,1,586,,1927,,78.0,94.0
280,1.0,1,445,,1991,300000,95.0,97.0
281,1.0,1,501,,1923,300000,90.0,96.0
282,3.25,3,1630,,2005,1099000,70.0,97.0
283,3.5,4,2860,,2013,1650000,71.0,92.0
284,1.0,2,1333,7,1929,825000,72.0,92.0
285,1.0,2,1040,,1946,499999,56.0,56.0
286,3.0,2,1400,,2008,949000,67.0,96.0
287,2.5,3,2490,,1906,1050000,60.0,89.0
288,1.0,,490,,1925,245000,77.0,96.0
289,2.0,2,951,,1999,550000,60.0,90.0
290,3.5,5,4940,,1906,,66.0,79.0
291,,,11835,,1929,,69.0,92.0
292,3.25,5,3520,,1926,1650000,58.0,69.0
293,1.5,2,710,,1991,,78.0,94.0
294,2.5,5,3080,,1903,1450000,75.0,95.0
295,2.0,2,910,5,2006,600000,79.0,97.0
296,1.75,2,888,,2005,450000,66.0,98.0
297,1.75,1,,,,450000,64.0,92.0
298,1.5,1,835,,1994,430000,76.0,96.0
299,1.0,1,600,,1917,400000,77.0,95.0
300,1.0,1,619,2,2006,450000,87.0,97.0
301,2.5,3,2070,,1999,635000,0.0,58.0
302,2.5,4,2560,,1989,698950,25.0,23.0
303,1.75,3,1580,,1962,500000,0.0,0.0
304,1.0,1,653,,1994,,31.0,0.0
305,3.5,5,3750,9,1994,1200000,36.0,8.0
306,1.75,2,1319,,2005,389000,33.0,1.0
307,2.75,4,1890,7,1995,650000,21.0,54.0
308,3.25,5,3090,,1984,729900,0.0,3.0
309,2.0,2,942,,1995,,18.0,19.0
310,3.5,3,3690,9,1990,985000,28.0,9.0
311,2.5,4,1868,,2005,525000,0.0,33.0
312,3.0,2,1673,,2006,460000,0.0,49.0
313,2.5,4,4640,,1990,1050000,0.0,0.0
314,1.5,3,1900,7,1957,700000,36.0,39.0
315,2.5,3,1480,,1996,495000,18.0,43.0
316,2.0,2,932,,1999,300000,38.0,71.0
