,bathrooms,bedrooms,finishedsqft,numrooms,yearbuilt,price,trans_score,walkscore_score
245,3.0,5,1900,8,1964,1200000,0,16
246,2.0,3,1640,6,1966,,0,55
247,1.5,2,1048,4,1974,475000,0,62
248,3.0,3,1370,7,1986,,48,80
249,4.0,5,1110,9,1960,,0,37
250,2.0,4,1650,7,1956,789000,0,27
251,2.0,3,1485,6,1940,699000,41,85
252,1.0,2,630,4,1924,,0,58
253,2.0,3,1500,5,1965,1000000,55,31
254,2.0,2,969,4,1985,549000,0,15
255,3.0,4,1980,8,1974,,0,57
256,2.5,4,2387,9,2001,,0,38
257,1.5,4,1090,7,1960,,0,47
258,1.0,3,830,6,1912,,62,70
259,1.0,3,1230,6,1955,,0,51
260,3.0,3,1440,6,1917,,0,71
261,3.0,5,2430,9,1969,849000,0,58
262,1.0,2,830,5,1927,,76,79
263,2.0,2,1180,6,1989,,0,37
264,1.5,3,1380,6,1957,,38,72
265,1.0,3,1170,6,1947,,0,73
266,2.0,6,1890,8,1961,,0,25
267,2.0,3,1110,6,1960,798888,0,22
268,2.0,3,1300,6,1949,,58,54
269,2.0,3,1131,5,1974,624000,0,62
270,2.0,3,1250,6,1939,,0,85
271,3.0,3,1487,6,1985,698000,0,18
272,1.0,3,1300,6,1955,950000,0,51
273,2.0,3,1320,8,1959,,0,64
274,1.0,2,1160,5,1938,,72,82
275,2.5,3,1740,7,1993,,0,42
276,3.0,4,2340,8,1953,,0,21
277,3.5,4,2180,7,2002,,0,26
278,2.0,3,1120,6,1960,,0,38
279,2.5,3,1506,6,2008,1698000,40,59
280,3.0,4,2150,8,1952,2950000,0,23
281,1.0,2,950,5,1928,1099000,22,54
282,4.5,5,5256,13,2007,6200000,20,11
283,3.5,4,2400,11,2007,3499999,0,49
284,1.0,3,1420,6,1947,,27,59
285,3.0,3,1750,6,1950,,0,28
286,1.0,3,1030,6,1949,,28,61
287,5.0,5,3400,10,1971,3500000,0,28
289,2.0,3,,,1951,1995000,32,45
290,3.0,4,3250,13,1951,4500000,0,19
291,5.5,5,5108,6,2015,5695000,0,25
292,2.5,3,2150,6,1972,2000000,0,64
293,2.5,3,2040,6,1959,3150000,0,52
294,1.0,3,1123,7,1951,2250000,22,62
295,2.0,4,1280,7,1941,,21,73
296,2.0,3,1660,7,1954,2199995,0,51
297,1.0,2,1240,5,1951,,32,53
298,3.0,3,2440,7,1993,,43,70
321,2.5,3,2745,6,,2395000,80,83
323,2.0,2,,,2014,1595000,100,99
324,1.0,1,659,,1893,999999,100,98
